C,epsilon,mse,r2,execution_time
0.1,0.01,0.0285193304929413,0.7308342743476712,2.7788026332855225
0.1,0.1,0.030576226642485455,0.7114212679722038,1.109449863433838
0.1,0.02,0.028598579501087493,0.7300863214183353,2.3807880878448486
1.0,0.01,0.018741634580290288,0.8231162658968035,5.317214488983154
1.0,0.1,0.021620857161544018,0.7959421344567423,1.2357497215270996
1.0,0.02,0.01884998972337776,0.8220936089755788,4.182656764984131
10.0,0.01,0.019598908925759315,0.8150253020735676,29.642253398895264
10.0,0.1,0.020499158504345368,0.806528737571526,1.2496578693389893
10.0,0.02,0.019276386175758383,0.8180692750050105,16.298409938812256
